embedding,date,data,naiveATC,naiveLCI,naiveUCI,vrmeATC,vrmeLCI,vrmeUCI,max_cosine
df_embeddings.csv,reviewer,all_2018,-0.6796990535344563,-0.8305798950014739,-0.5287471963422983,-0.452605883942949,-0.5739543589174795,-0.3271059269118275,0.2296
df_embeddings.csv,reviewer,found_2018,0.03133757041744989,-0.1674224204343006,0.21809478670133428,0.02387003318559169,-0.1210242566133982,0.16909915365324896,0.259
df_embeddings.csv,reviewer,all_2017_found_2018,0.14450777103142531,-0.02340016038493522,0.3170753379539528,-0.04488369184976457,-0.1535627451862983,0.06389797104258418,0.2325
df_embeddings.csv,reviewer,all_2017_2018,-0.5665288529204808,-0.6903303620298803,-0.4397643971381739,-0.6889695484834861,-0.7845728063659541,-0.5926378785952786,0.2325
df_embeddings.csv,rebuttal,all_2018,-0.7243154761904771,-0.876799107142853,-0.576753720238096,-0.48634909365079343,-0.5999450396825393,-0.3675307539682538,0.2296
df_embeddings.csv,rebuttal,found_2018,0.0172421695951126,-0.1804645085306828,0.20976581996434696,-0.043154653670436055,-0.1845450270169491,0.0988453724582143,0.259
df_embeddings.csv,rebuttal,all_2017_found_2018,0.13045645530939254,-0.04713490737203478,0.3054201813301029,-0.06893404751438116,-0.18081707968813038,0.03958772200399946,0.2325
df_embeddings.csv,rebuttal,all_2017_2018,-0.6111011904761972,-0.7416912202380941,-0.48220932539682515,-0.74768109301885,-0.8391011789063326,-0.6524146214009685,0.2325
df_embeddings.csv,decision,all_2018,-0.7491073616410526,-0.8960366565150911,-0.5970146205995255,-0.5049424797843663,-0.619660265049416,-0.3948725292003599,0.2772
df_embeddings.csv,decision,found_2018,0.025992108596109453,-0.1671797364660771,0.22081063472217136,-0.0023098237416186614,-0.141670946840494,0.14177747311244188,0.259
df_embeddings.csv,decision,all_2017_found_2018,0.13528947380695122,-0.05042739774428713,0.3207085193270146,-0.06444204317921812,-0.17816465967337292,0.0473974149595387,0.2325
df_embeddings.csv,decision,all_2017_2018,-0.6398099964302109,-0.7619489946754716,-0.5181405455752142,-0.7737332919673483,-0.8677673390063627,-0.6805439599041534,0.2325
doc2vec100_embeddings.csv,reviewer,all_2018,-0.6796990535344563,-0.8305798950014739,-0.5287471963422983,-0.565407401574156,-0.691487828223076,-0.4386264131256369,0.3158
doc2vec100_embeddings.csv,reviewer,found_2018,0.03133757041744989,-0.1674224204343006,0.21809478670133428,0.027836190951012692,-0.11108567904515973,0.16800395284235753,0.3426
doc2vec100_embeddings.csv,reviewer,all_2017_found_2018,0.14450777103142531,-0.02340016038493522,0.3170753379539528,0.06720059023747545,-0.039219156396422594,0.17581140538109402,0.3332
doc2vec100_embeddings.csv,reviewer,all_2017_2018,-0.5665288529204808,-0.6903303620298803,-0.4397643971381739,-0.5999777838653513,-0.6978180807602202,-0.5059575617136365,0.3505
doc2vec100_embeddings.csv,rebuttal,all_2018,-0.7243154761904771,-0.876799107142853,-0.576753720238096,-0.5873921016250944,-0.7032797004913068,-0.4667103741496591,0.3426
doc2vec100_embeddings.csv,rebuttal,found_2018,0.0172421695951126,-0.1804645085306828,0.20976581996434696,0.01349833090612839,-0.12138579084533045,0.1478475910794574,0.3386
doc2vec100_embeddings.csv,rebuttal,all_2017_found_2018,0.13045645530939254,-0.04713490737203478,0.3054201813301029,0.07878105587439332,-0.03209331583783322,0.1840782787343794,0.3286
doc2vec100_embeddings.csv,rebuttal,all_2017_2018,-0.6111011904761972,-0.7416912202380941,-0.48220932539682515,-0.6295833315865494,-0.7224235656914425,-0.5364819490773557,0.3505
doc2vec100_embeddings.csv,decision,all_2018,-0.7491073616410526,-0.8960366565150911,-0.5970146205995255,-0.6133224490508992,-0.7306958081974931,-0.499934415065817,0.3426
doc2vec100_embeddings.csv,decision,found_2018,0.025992108596109453,-0.1671797364660771,0.22081063472217136,0.020193019463593784,-0.1193849818966612,0.15468450577428045,0.3386
doc2vec100_embeddings.csv,decision,all_2017_found_2018,0.13528947380695122,-0.05042739774428713,0.3207085193270146,0.09335652282614652,-0.018842558794481747,0.2049206366237877,0.3286
doc2vec100_embeddings.csv,decision,all_2017_2018,-0.6398099964302109,-0.7619489946754716,-0.5181405455752142,-0.6724537582976152,-0.767592559405506,-0.5762541529633541,0.3505
doc2vec1000_embeddings.csv,reviewer,all_2018,-0.6796990535344563,-0.8305798950014739,-0.5287471963422983,-0.5767485760294455,-0.7005076468993395,-0.4503244540569845,0.3015
doc2vec1000_embeddings.csv,reviewer,found_2018,0.03133757041744989,-0.1674224204343006,0.21809478670133428,-0.010919457196204003,-0.14216054256559182,0.12150733495791277,0.322
doc2vec1000_embeddings.csv,reviewer,all_2017_found_2018,0.14450777103142531,-0.02340016038493522,0.3170753379539528,0.08849110100686675,-0.02332261625724801,0.2029834499588261,0.3211
doc2vec1000_embeddings.csv,reviewer,all_2017_2018,-0.5665288529204808,-0.6903303620298803,-0.4397643971381739,-0.5964656686938223,-0.6928074898423499,-0.5011363158645911,0.3211
doc2vec1000_embeddings.csv,rebuttal,all_2018,-0.7243154761904771,-0.876799107142853,-0.576753720238096,-0.6200868998488283,-0.7377127645502646,-0.4994409108087682,0.3015
doc2vec1000_embeddings.csv,rebuttal,found_2018,0.0172421695951126,-0.1804645085306828,0.20976581996434696,-0.029791349951377184,-0.1635065165708858,0.10402017821405724,0.322
doc2vec1000_embeddings.csv,rebuttal,all_2017_found_2018,0.13045645530939254,-0.04713490737203478,0.3054201813301029,0.088950395810486,-0.020547380952380696,0.1988406718374219,0.3211
